time, Feed Pressure [bara],time, Permeate Pressure [bara],time, Retentate Pressure [bara],time, O_2  Permeate [%],time, O_2 Retentate [%],time, Flow Meter [l/min],time, Flow Controller Range (0-50 SLPM) [l/min]
0.341298 , 4.117649,0.388284 , 1.090877,0.361291 , 4.049979,0.410283 , 34.886027,0.442279 , 14.064219,0.521268 , 14.200000,0.543262 , 24.900000
1.358290 , 4.116682,1.413649 , 1.090877,1.376272 , 4.048046,1.446092 , 34.910163,1.469242 , 14.032036,1.538299 , 14.200000,1.559267 , 25.000000
2.391574 , 4.113782,2.431380 , 1.090877,2.414906 , 4.044179,2.474503 , 34.926254,2.513362 , 14.064219,2.555270 , 14.200000,2.576259 , 25.300001
3.408299 , 4.110882,3.447271 , 1.090877,3.430274 , 4.040312,3.490269 , 34.926254,3.529269 , 14.225129,3.571267 , 14.200000,3.593263 , 25.400000
4.449948 , 4.107015,4.484608 , 1.090877,4.466412 , 4.038379,4.511361 , 34.942346,4.544277 , 14.715906,4.588263 , 14.200000,4.625907 , 25.400000
5.495213 , 4.104115,5.527304 , 1.089910,5.511359 , 4.033545,5.543277 , 34.942346,5.559267 , 15.150364,5.604263 , 14.200000,5.643261 , 25.300001
6.512300 , 4.100248,6.544271 , 1.089910,6.528271 , 4.031612,6.560270 , 34.942346,6.576269 , 15.303229,6.620264 , 14.200000,6.684519 , 25.400000
7.529304 , 4.098315,7.561279 , 1.089910,7.545278 , 4.029678,7.577272 , 34.942346,7.594282 , 15.504367,7.646748 , 14.200000,7.711657 , 25.400000
8.546294 , 4.095415,8.578272 , 1.088944,8.562274 , 4.026778,8.594270 , 34.926254,8.610266 , 15.536549,8.669267 , 14.200000,8.728263 , 25.400000
9.563307 , 4.092515,9.595272 , 1.088944,9.579274 , 4.022911,9.611269 , 34.910163,9.627269 , 15.504367,9.709945 , 14.100000,9.753951 , 25.400000
10.580306 , 4.091548,10.637863 , 1.088944,10.598494 , 4.021945,10.655199 , 34.886027,10.678968 , 15.399775,10.741932 , 14.100000,10.773357 , 25.300001
11.597294 , 4.088648,11.653276 , 1.088944,11.614293 , 4.019045,11.670271 , 34.869936,11.694271 , 15.238865,11.758265 , 14.100000,11.790263 , 25.400000
12.614295 , 4.085748,12.675083 , 1.087977,12.630274 , 4.016144,12.696348 , 34.845799,12.720422 , 15.094045,12.775344 , 14.100000,12.807275 , 25.300001
13.636937 , 4.084781,13.705938 , 1.087977,13.655288 , 4.014211,13.736586 , 34.829708,13.759938 , 15.013590,13.792303 , 14.100000,13.824280 , 25.400000
14.654287 , 4.081881,14.721271 , 1.087977,14.670286 , 4.013244,14.752269 , 34.813617,14.775269 , 14.852680,14.809268 , 14.100000,14.841265 , 25.400000
15.673737 , 4.079947,15.742726 , 1.087977,15.694810 , 4.010344,15.772360 , 34.797526,15.790306 , 14.715906,15.825269 , 14.100000,15.893022 , 25.400000
16.696280 , 4.078981,16.760709 , 1.087010,16.737935 , 4.008411,16.788305 , 34.797526,16.805277 , 14.667633,16.841269 , 14.100000,16.910267 , 25.400000
17.714335 , 4.078014,17.776276 , 1.087010,17.759270 , 4.007444,17.803274 , 34.773390,17.820269 , 14.538904,17.857265 , 14.100000,17.946037 , 25.400000
18.744713 , 4.076081,18.791304 , 1.087010,18.775350 , 4.005511,18.818274 , 34.773390,18.835272 , 14.466495,18.894286 , 14.100000,18.974374 , 25.400000
19.775361 , 4.075114,19.807282 , 1.087010,19.791304 , 4.003577,19.833275 , 34.773390,19.850274 , 14.418221,19.911268 , 14.100000,19.991269 , 25.400000
20.792295 , 4.073180,20.824277 , 1.087010,20.808279 , 4.003577,20.848272 , 34.773390,20.865273 , 14.369948,20.938902 , 14.000000,21.011333 , 25.400000
21.809296 , 4.071247,21.841275 , 1.087010,21.825277 , 4.001644,21.866472 , 34.797526,21.893739 , 14.329721,21.967362 , 14.000000,22.028303 , 25.400000
22.826297 , 4.070280,22.858276 , 1.086043,22.842274 , 4.000677,22.882272 , 34.797526,22.909272 , 14.281448,22.983270 , 14.000000,23.045265 , 25.400000
23.843297 , 4.069314,23.875273 , 1.086043,23.859275 , 3.998744,23.897271 , 34.797526,23.926857 , 14.265357,24.003081 , 14.000000,24.062285 , 25.400000
24.860304 , 4.068347,24.897678 , 1.086043,24.877800 , 3.997777,24.934384 , 34.813617,24.958237 , 14.241220,25.024361 , 14.000000,25.079281 , 25.400000
25.877295 , 4.067380,25.913277 , 1.086043,25.893287 , 3.996810,25.950274 , 34.829708,25.973272 , 14.217083,26.041273 , 14.000000,26.096267 , 25.400000
26.894304 , 4.066413,26.953678 , 1.086043,26.910276 , 3.995844,26.980482 , 34.829708,27.001941 , 14.217083,27.058307 , 14.000000,27.113276 , 25.400000
27.918217 , 4.065447,27.975889 , 1.086043,27.952032 , 3.994877,28.001940 , 34.845799,28.026363 , 14.200992,28.075281 , 14.000000,28.130266 , 25.400000
28.935306 , 4.064480,29.006281 , 1.086043,28.990282 , 3.993910,29.022274 , 34.861890,29.042273 , 14.200992,29.092268 , 14.000000,29.147266 , 25.400000
29.973926 , 4.063513,30.034378 , 1.086043,30.009515 , 3.992943,30.050309 , 34.877981,30.066280 , 14.200992,30.108268 , 14.000000,30.176942 , 25.400000
31.014563 , 4.063513,31.050286 , 1.086043,31.030346 , 3.991977,31.066277 , 34.877981,31.082273 , 14.200992,31.125265 , 14.000000,31.193268 , 25.400000
32.031306 , 4.062547,32.065273 , 1.086043,32.047278 , 3.991977,32.081271 , 34.910163,32.097271 , 14.200992,32.141268 , 14.000000,32.228014 , 25.400000
33.048304 , 4.060613,33.080276 , 1.086043,33.064280 , 3.991010,33.096273 , 34.926254,33.112274 , 14.184901,33.162206 , 14.000000,33.257915 , 25.400000
34.065297 , 4.060613,34.097277 , 1.085077,34.081277 , 3.990043,34.113274 , 34.926254,34.129275 , 14.184901,34.178269 , 14.000000,34.274271 , 25.400000
35.082298 , 4.059646,35.114274 , 1.085077,35.098277 , 3.990043,35.130271 , 34.942346,35.146273 , 14.184901,35.195323 , 14.000000,35.291258 , 25.400000
36.099298 , 4.059646,36.132414 , 1.085077,36.115276 , 3.989077,36.162286 , 34.958437,36.203848 , 14.184901,36.224168 , 14.000000,36.308310 , 25.400000
37.116308 , 4.058680,37.148278 , 1.085077,37.132278 , 3.989077,37.177276 , 34.958437,37.219273 , 14.184901,37.246271 , 14.000000,37.324269 , 25.400000
38.133313 , 4.058680,38.165277 , 1.085077,38.149279 , 3.988110,38.192318 , 34.974528,38.243974 , 14.184901,38.276813 , 14.000000,38.340292 , 25.400000
39.163483 , 4.057713,39.202664 , 1.085077,39.186621 , 3.988110,39.240677 , 34.990619,39.265919 , 14.200992,39.296359 , 14.000000,39.356277 , 25.400000
40.180308 , 4.056746,40.218279 , 1.085077,40.202280 , 3.986176,40.256282 , 35.006710,40.295279 , 14.200992,40.313271 , 14.000000,40.372268 , 25.400000
41.206962 , 4.056746,41.258364 , 1.085077,41.237307 , 3.986176,41.282483 , 35.022801,41.311318 , 14.200992,41.329279 , 14.000000,41.418312 , 25.400000
42.237695 , 4.055780,42.291353 , 1.085077,42.275463 , 3.986176,42.307305 , 35.022801,42.326277 , 14.200992,42.346274 , 14.000000,42.434270 , 25.400000
43.254311 , 4.055780,43.307282 , 1.085077,43.291282 , 3.985210,43.323278 , 35.038892,43.341277 , 14.200992,43.362272 , 14.000000,43.472224 , 25.400000
44.275297 , 4.055780,44.323275 , 1.085077,44.307310 , 3.985210,44.339272 , 35.038892,44.356274 , 14.200992,44.379270 , 14.000000,44.520022 , 25.400000
45.293363 , 4.055780,45.339282 , 1.085077,45.323302 , 3.984243,45.355279 , 35.054983,45.371280 , 14.200992,45.395273 , 14.000000,45.536275 , 25.400000
46.310302 , 4.054813,46.354281 , 1.085077,46.338283 , 3.984243,46.370281 , 35.071074,46.386279 , 14.200992,46.412273 , 14.000000,46.552307 , 25.400000
47.327305 , 4.054813,47.369280 , 1.085077,47.353286 , 3.983276,47.385277 , 35.071074,47.420200 , 14.200992,47.460881 , 13.900001,47.568307 , 25.400000
48.344305 , 4.054813,48.384280 , 1.084110,48.368284 , 3.983276,48.400277 , 35.087165,48.435281 , 14.200992,48.477273 , 13.900001,48.584270 , 25.400000
49.361304 , 4.053846,49.399281 , 1.085077,49.383285 , 3.983276,49.415278 , 35.079119,49.450312 , 14.200992,49.505158 , 14.000000,49.600310 , 25.400000
50.378312 , 4.053846,50.434234 , 1.084110,50.414838 , 3.983276,50.469975 , 35.111301,50.508571 , 14.200992,50.533929 , 14.000000,50.617289 , 25.400000
51.395311 , 4.053846,51.450278 , 1.084110,51.430282 , 3.982310,51.485277 , 35.111301,51.524277 , 14.200992,51.550273 , 13.900001,51.633272 , 25.400000
52.412293 , 4.052879,52.478976 , 1.084110,52.445295 , 3.982310,52.512041 , 35.111301,52.541567 , 14.200992,52.567306 , 13.900001,52.679407 , 25.400000
53.453966 , 4.052879,53.513376 , 1.084110,53.490610 , 3.982310,53.548364 , 35.127392,53.564303 , 14.200992,53.583301 , 13.900001,53.696282 , 25.400000
54.484304 , 4.052879,54.529283 , 1.085077,54.506295 , 3.982310,54.564281 , 35.127392,54.580281 , 14.200992,54.600271 , 13.900001,54.718273 , 25.400000
55.516187 , 4.052879,55.551346 , 1.085077,55.534388 , 3.982310,55.579310 , 35.127392,55.595286 , 14.200992,55.616285 , 13.900001,55.756485 , 25.400000
56.567331 , 4.052879,56.583288 , 1.085077,56.551375 , 3.981343,56.599285 , 35.119347,56.615281 , 14.200992,56.632274 , 13.900001,56.773271 , 25.400000
57.584286 , 4.051913,57.600282 , 1.085077,57.568294 , 3.981343,57.616279 , 35.119347,57.632280 , 14.217083,57.650280 , 13.900001,57.791834 , 25.400000
58.601284 , 4.051913,58.617282 , 1.085077,58.585316 , 3.981343,58.633280 , 35.143484,58.650583 , 14.217083,58.684758 , 13.900001,58.808323 , 25.400000
59.618284 , 4.051913,59.634282 , 1.084110,59.602304 , 3.981343,59.650282 , 35.135438,59.666281 , 14.217083,59.701276 , 13.900001,59.824286 , 25.400000
60.635284 , 4.051913,60.651280 , 1.085077,60.619304 , 3.980376,60.667278 , 35.151529,60.683280 , 14.217083,60.718799 , 13.900001,60.841317 , 25.400000
61.652401 , 4.051913,61.677317 , 1.084110,61.636318 , 3.980376,61.709860 , 35.151529,61.726349 , 14.217083,61.763655 , 13.900001,61.858310 , 25.400000
62.669286 , 4.051913,62.692284 , 1.084110,62.653311 , 3.981343,62.728284 , 35.151529,62.744283 , 14.217083,62.780278 , 13.900001,62.875277 , 25.400000
63.686285 , 4.051913,63.707282 , 1.084110,63.670305 , 3.980376,63.744341 , 35.167620,63.765047 , 14.217083,63.803298 , 13.900001,63.892308 , 25.400000
64.708793 , 4.050946,64.766888 , 1.084110,64.728545 , 3.980376,64.804519 , 35.167620,64.821387 , 14.217083,64.838307 , 13.900001,64.909293 , 25.400000
65.726309 , 4.050946,65.782280 , 1.084110,65.744279 , 3.980376,65.820281 , 35.167620,65.837281 , 14.217083,65.855283 , 13.900001,65.926276 , 25.400000
