time, Feed Pressure [bara],time, Permeate Pressure [bara],time, Retentate Pressure [bara],time, O_2  Permeate [%],time, O_2 Retentate [%],time, Flow Meter [l/min],time, Flow Controller Range (0-50 SLPM) [l/min]
0.318659 , 4.160184,0.445512 , 1.177881,0.355629 , 3.966842,0.476833 , 32.512598,0.402833 , 11.851700,0.564824 , 17.400000,0.637565 , 19.800001
1.371270 , 4.160184,1.464722 , 1.177881,1.392844 , 3.967809,1.492625 , 32.456280,1.425734 , 11.851700,1.581626 , 17.400000,1.653621 , 19.800001
2.388658 , 4.161151,2.480624 , 1.177881,2.408627 , 3.967809,2.507624 , 32.391915,2.441624 , 11.851700,2.598620 , 17.400000,2.673020 , 19.800001
3.409107 , 4.161151,3.502709 , 1.177881,3.442976 , 3.967809,3.522651 , 32.343642,3.474004 , 11.851700,3.625270 , 17.400000,3.700118 , 19.800001
4.426692 , 4.161151,4.518658 , 1.176914,4.458703 , 3.967809,4.537657 , 32.311460,4.489658 , 11.851700,4.641626 , 17.400000,4.715661 , 19.800001
5.443701 , 4.161151,5.533685 , 1.176914,5.474663 , 3.967809,5.552639 , 32.255142,5.504639 , 11.851700,5.672584 , 17.400000,5.740346 , 19.800001
6.464966 , 4.163085,6.549628 , 1.177881,6.491124 , 3.968776,6.575469 , 32.214914,6.520661 , 11.851700,6.690915 , 17.400000,6.756640 , 19.800001
7.497670 , 4.163085,7.565675 , 1.176914,7.513640 , 3.968776,7.590640 , 32.206868,7.535662 , 11.851700,7.707656 , 17.300001,7.773642 , 19.800001
8.514658 , 4.163085,8.581687 , 1.176914,8.530640 , 3.968776,8.606651 , 32.166641,8.550638 , 11.867791,8.743215 , 17.400000,8.790643 , 19.800001
9.531659 , 4.163085,9.632845 , 1.176914,9.547633 , 3.969742,9.655925 , 32.134459,9.571386 , 11.867791,9.759658 , 17.300001,9.807622 , 19.800001
10.548662 , 4.163085,10.654639 , 1.176914,10.564632 , 3.969742,10.671637 , 32.118368,10.586630 , 11.875837,10.776626 , 17.300001,10.824634 , 19.800001
11.565664 , 4.164051,11.675811 , 1.176914,11.581632 , 3.970709,11.716367 , 32.102277,11.601631 , 11.899973,11.791641 , 17.300001,11.891069 , 19.800001
12.589343 , 4.164051,12.705623 , 1.176914,12.606129 , 3.970709,12.732737 , 32.078140,12.622682 , 11.908019,12.808678 , 17.400000,12.907660 , 19.800001
13.606660 , 4.165018,13.721639 , 1.176914,13.622630 , 3.970709,13.748640 , 32.070095,13.638630 , 11.924110,13.824623 , 17.400000,13.938450 , 19.800001
14.623663 , 4.165018,14.746096 , 1.176914,14.639642 , 3.970709,14.762666 , 32.070095,14.655642 , 11.940201,14.852873 , 17.400000,14.969186 , 19.800001
15.643712 , 4.165018,15.761658 , 1.176914,15.681551 , 3.971676,15.777632 , 32.054003,15.706736 , 11.964338,15.869624 , 17.400000,15.985622 , 19.800001
16.660644 , 4.165985,16.776638 , 1.176914,16.696637 , 3.972642,16.792627 , 32.037912,16.722628 , 11.972383,16.885637 , 17.400000,17.008748 , 19.800001
17.684849 , 4.165985,17.792666 , 1.176914,17.723069 , 3.971676,17.808637 , 32.037912,17.738690 , 11.980429,17.917572 , 17.300001,18.024642 , 19.800001
18.721769 , 4.166951,18.808642 , 1.176914,18.740637 , 3.972642,18.824640 , 32.037912,18.756643 , 11.996520,18.933629 , 17.300001,19.040635 , 19.800001
19.738660 , 4.166951,19.823666 , 1.176914,19.755633 , 3.973609,19.839640 , 32.021821,19.771714 , 11.996520,19.975195 , 17.300001,20.056659 , 19.800001
20.756752 , 4.166951,20.848822 , 1.176914,20.772644 , 3.973609,20.898362 , 32.021821,20.788642 , 12.004565,20.991705 , 17.300001,21.072642 , 19.800001
21.774664 , 4.167918,21.864640 , 1.176914,21.790636 , 3.973609,21.913637 , 32.005730,21.806631 , 12.004565,22.008633 , 17.400000,22.087718 , 19.800001
22.791684 , 4.167918,22.879679 , 1.176914,22.807673 , 3.975543,22.934208 , 32.005730,22.823666 , 12.004565,23.024735 , 17.400000,23.136876 , 19.800001
23.808692 , 4.167918,23.905582 , 1.176914,23.824879 , 3.975543,23.951940 , 32.005730,23.850065 , 12.004565,24.041645 , 17.300001,24.153632 , 19.800001
24.825660 , 4.168885,24.921631 , 1.176914,24.841632 , 3.976509,24.986633 , 32.005730,24.865645 , 11.988474,25.057639 , 17.400000,25.169638 , 19.800001
25.842667 , 4.168885,25.949828 , 1.176914,25.858643 , 3.976509,26.012889 , 32.005730,25.880655 , 11.988474,26.074675 , 17.300001,26.217483 , 19.800001
26.865052 , 4.168885,26.976853 , 1.176914,26.885271 , 3.976509,27.028667 , 32.005730,26.901696 , 11.972383,27.091630 , 17.300001,27.233638 , 19.700001
27.881666 , 4.168885,27.993631 , 1.176914,27.900645 , 3.977476,28.043634 , 32.005730,27.917643 , 11.972383,28.107628 , 17.300001,28.251559 , 19.800001
28.898676 , 4.169852,29.019007 , 1.176914,28.915658 , 3.977476,29.058662 , 32.005730,28.936203 , 11.964338,29.136933 , 17.400000,29.268655 , 19.800001
29.916844 , 4.169852,30.034662 , 1.176914,29.940759 , 3.977476,30.073713 , 32.005730,29.959066 , 11.964338,30.165646 , 17.400000,30.285659 , 19.800001
30.935674 , 4.169852,31.049634 , 1.176914,30.956656 , 3.977476,31.089666 , 32.005730,30.974671 , 11.940201,31.182996 , 17.300001,31.302665 , 19.700001
31.955784 , 4.170818,32.065655 , 1.176914,31.976017 , 3.978443,32.120161 , 32.005730,32.004323 , 11.940201,32.208601 , 17.400000,32.319761 , 19.700001
32.974339 , 4.170818,33.080632 , 1.177881,32.991690 , 3.978443,33.135669 , 32.005730,33.019645 , 11.924110,33.224729 , 17.400000,33.336688 , 19.800001
33.991713 , 4.170818,34.096697 , 1.177881,34.007898 , 3.979409,34.150626 , 32.013776,34.034628 , 11.924110,34.240917 , 17.400000,34.353684 , 19.700001
35.016383 , 4.170818,35.127910 , 1.176914,35.032701 , 3.979409,35.178401 , 32.005730,35.053737 , 11.908019,35.260724 , 17.400000,35.370660 , 19.700001
36.033666 , 4.171785,36.144645 , 1.177881,36.049643 , 3.979409,36.193647 , 32.005730,36.069659 , 11.891928,36.277644 , 17.400000,36.386672 , 19.700001
37.050621 , 4.171785,37.159640 , 1.176914,37.066638 , 3.980376,37.220865 , 31.981594,37.085636 , 11.891928,37.293707 , 17.400000,37.408907 , 19.700001
38.066681 , 4.171785,38.199232 , 1.177881,38.082625 , 3.980376,38.236863 , 31.981594,38.111761 , 11.891928,38.310645 , 17.400000,38.425649 , 19.700001
39.082673 , 4.172752,39.214649 , 1.177881,39.098608 , 3.980376,39.252663 , 31.981594,39.127655 , 11.875837,39.326642 , 17.400000,39.442177 , 19.700001
40.099672 , 4.172752,40.237752 , 1.177881,40.115647 , 3.980376,40.276184 , 31.981594,40.142647 , 11.875837,40.343697 , 17.400000,40.483596 , 19.700001
41.129493 , 4.172752,41.257719 , 1.177881,41.146249 , 3.981343,41.291657 , 31.973548,41.169767 , 11.867791,41.359643 , 17.400000,41.499640 , 19.700001
42.146665 , 4.172752,42.273648 , 1.177881,42.162646 , 3.981343,42.307656 , 31.965503,42.185644 , 11.867791,42.375644 , 17.400000,42.523705 , 19.700001
43.163665 , 4.173718,43.289674 , 1.177881,43.179636 , 3.981343,43.323650 , 31.973548,43.206333 , 11.851700,43.414998 , 17.400000,43.540662 , 19.700001
44.180737 , 4.173718,44.305698 , 1.177881,44.196745 , 3.982310,44.338613 , 31.973548,44.226839 , 11.851700,44.431688 , 17.400000,44.557682 , 19.700001
45.197662 , 4.173718,45.321663 , 1.177881,45.213657 , 3.982310,45.353632 , 31.973548,45.242648 , 11.851700,45.448820 , 17.400000,45.575150 , 19.700001
46.225323 , 4.175652,46.337667 , 1.177881,46.246052 , 3.982310,46.384435 , 31.949412,46.268747 , 11.827564,46.467124 , 17.400000,46.591662 , 19.700001
47.248734 , 4.173718,47.353650 , 1.177881,47.270665 , 3.983276,47.401645 , 31.957457,47.286642 , 11.827564,47.492646 , 17.400000,47.608633 , 19.700001
48.265668 , 4.175652,48.369662 , 1.177881,48.285658 , 3.983276,48.416649 , 31.949412,48.301688 , 11.827564,48.510235 , 17.400000,48.635456 , 19.700001
49.291728 , 4.175652,49.417132 , 1.177881,49.307725 , 3.983276,49.440236 , 31.949412,49.323729 , 11.811473,49.529869 , 17.400000,49.652663 , 19.700001
50.311749 , 4.175652,50.432646 , 1.177881,50.327665 , 3.983276,50.455647 , 31.949412,50.343642 , 11.811473,50.546642 , 17.400000,50.669640 , 19.700001
51.328712 , 4.175652,51.447620 , 1.177881,51.344613 , 3.983276,51.480706 , 31.949412,51.360686 , 11.811473,51.563716 , 17.400000,51.698450 , 19.700001
52.345635 , 4.176618,52.463688 , 1.177881,52.366839 , 3.984243,52.507015 , 31.941366,52.391933 , 11.803427,52.580651 , 17.400000,52.725646 , 19.700001
53.362660 , 4.176618,53.478704 , 1.177881,53.382638 , 3.984243,53.522652 , 31.941366,53.407640 , 11.795382,53.596647 , 17.400000,53.749382 , 19.700001
54.378672 , 4.176618,54.501219 , 1.177881,54.397643 , 3.984243,54.540759 , 31.941366,54.423552 , 11.795382,54.613734 , 17.400000,54.775758 , 19.700001
55.396737 , 4.176618,55.522772 , 1.177881,55.420847 , 3.984243,55.556667 , 31.941366,55.440755 , 11.795382,55.629621 , 17.400000,55.792640 , 19.700001
56.413715 , 4.176618,56.538680 , 1.177881,56.454663 , 3.984243,56.571680 , 31.941366,56.470676 , 11.795382,56.646675 , 17.400000,56.808699 , 19.700001
57.430667 , 4.176618,57.561709 , 1.177881,57.482527 , 3.985210,57.587666 , 31.925275,57.507792 , 11.779291,57.681678 , 17.400000,57.825668 , 19.700001
58.451302 , 4.177585,58.577661 , 1.177881,58.502734 , 3.985210,58.602651 , 31.925275,58.529685 , 11.787336,58.698707 , 17.400000,58.842641 , 19.700001
59.471681 , 4.176618,59.592635 , 1.177881,59.518675 , 3.985210,59.617670 , 31.925275,59.544680 , 11.787336,59.715660 , 17.400000,59.859636 , 19.700001
60.499290 , 4.177585,60.608668 , 1.178848,60.542665 , 3.985210,60.644281 , 31.925275,60.564443 , 11.787336,60.760837 , 17.400000,60.876651 , 19.700001
61.517718 , 4.177585,61.623635 , 1.178848,61.561643 , 3.985210,61.659640 , 31.909184,61.579637 , 11.787336,61.777645 , 17.400000,61.893644 , 19.700001
62.534668 , 4.177585,62.638640 , 1.178848,62.576652 , 3.985210,62.674649 , 31.909184,62.594650 , 11.779291,62.798753 , 17.400000,62.918347 , 19.700001
63.554738 , 4.177585,63.655918 , 1.178848,63.592654 , 3.985210,63.691795 , 31.909184,63.609638 , 11.787336,63.815650 , 17.400000,63.934633 , 19.700001
64.571670 , 4.177585,64.671637 , 1.177881,64.607643 , 3.985210,64.707639 , 31.909184,64.624637 , 11.779291,64.831664 , 17.400000,NA,NA
