time, Feed Pressure [bara],time, Permeate Pressure [bara],time, Retentate Pressure [bara],time, O_2  Permeate [%],time, O_2 Retentate [%],time, Flow Meter [l/min],time, Flow Controller Range (0-50 SLPM) [l/min]
0.594290 , 4.443431,0.618278 , 0.940070,0.639278 , 4.406696,0.711036 , 39.496110,0.744757 , 15.230819,0.807961 , 5.800000,0.834166 , 14.600000
1.611341 , 4.446331,1.638264 , 0.940070,1.659811 , 4.408629,1.726295 , 39.496110,1.760264 , 15.230819,1.824256 , 5.800000,1.851255 , 14.600000
2.628295 , 4.450198,2.653268 , 0.940070,2.675262 , 4.412496,2.741265 , 39.496110,2.775263 , 15.222774,2.841256 , 5.800000,2.867255 , 14.600000
3.645287 , 4.452131,3.670177 , 0.940070,3.712757 , 4.414429,3.757355 , 39.504156,3.790295 , 15.206683,3.861348 , 5.800000,3.893530 , 14.500000
4.672922 , 4.454065,4.689335 , 0.940070,4.731271 , 4.416363,4.773266 , 39.504156,4.805264 , 15.190591,4.878257 , 5.800000,4.910259 , 14.500000
5.690278 , 4.455998,5.706288 , 0.940070,5.746268 , 4.418296,5.788265 , 39.496110,5.820265 , 15.174500,5.894260 , 5.800000,5.929764 , 14.500000
6.718862 , 4.458898,6.758685 , 0.940070,6.775337 , 4.421196,6.806023 , 39.504156,6.866505 , 15.158409,6.930548 , 5.800000,6.948326 , 14.500000
7.736288 , 4.459865,7.774268 , 0.940070,7.791262 , 4.422163,7.825265 , 39.488065,7.882267 , 15.150364,7.947260 , 5.800000,7.965258 , 14.500000
8.753289 , 4.463732,8.789268 , 0.940070,8.806263 , 4.426030,8.840263 , 39.488065,8.897266 , 15.142318,8.964749 , 5.800000,8.982567 , 14.500000
9.772348 , 4.465665,9.804288 , 0.940070,9.837413 , 4.427963,9.855352 , 39.455883,9.917914 , 15.126227,9.983293 , 5.800000,10.001263 , 14.500000
10.789297 , 4.466632,10.819270 , 0.941037,10.853263 , 4.430863,10.871265 , 39.455883,10.934266 , 15.126227,10.999262 , 5.800000,11.017258 , 14.400001
11.806296 , 4.468565,11.834270 , 0.941037,11.868268 , 4.431830,11.886267 , 39.471974,11.952575 , 15.110136,12.026346 , 5.800000,12.043279 , 14.400001
12.839160 , 4.470499,12.871505 , 0.941037,12.888753 , 4.433764,12.938494 , 39.455883,12.968303 , 15.094045,13.042273 , 5.800000,13.059258 , 14.400001
13.856298 , 4.472432,13.887269 , 0.941037,13.904267 , 4.436664,13.953264 , 39.471974,13.983267 , 15.077954,14.059264 , 5.900000,14.076259 , 14.400001
14.873298 , 4.474365,14.902271 , 0.941037,14.919267 , 4.436664,14.972754 , 39.480019,15.015622 , 15.077954,15.080736 , 5.900000,15.112116 , 14.400001
15.904043 , 4.475332,15.923106 , 0.941037,15.940337 , 4.438597,15.988278 , 39.496110,16.031269 , 15.069909,16.097264 , 5.900000,16.140259 , 14.300000
16.921289 , 4.476299,16.952276 , 0.941037,16.968268 , 4.439564,17.003265 , 39.528292,17.046264 , 15.053818,17.113260 , 5.900000,17.156259 , 14.300000
17.957770 , 4.477266,17.982991 , 0.941037,18.004603 , 4.441497,18.024724 , 39.528292,18.062291 , 15.037727,18.158593 , 5.900000,18.193513 , 14.300000
18.978297 , 4.478232,18.999280 , 0.941037,19.020270 , 4.442464,19.040268 , 39.584611,19.077265 , 15.045772,19.175261 , 5.900000,19.210258 , 14.300000
19.995297 , 4.480166,20.014272 , 0.941037,20.035268 , 4.443431,20.055267 , 39.616793,20.092268 , 15.045772,20.202655 , 5.900000,20.234276 , 14.300000
21.024700 , 4.480166,21.041338 , 0.941037,21.057295 , 4.444397,21.085028 , 39.632884,21.120064 , 15.029681,21.219304 , 5.900000,21.250265 , 14.300000
22.042297 , 4.482099,22.058274 , 0.941037,22.074268 , 4.445364,22.100265 , 39.681157,22.135265 , 15.045772,22.235265 , 5.900000,22.266261 , 14.300000
